date,total_cases,new_cases,total_deaths,new_deaths,reproduction_rate,total_tests,new_tests,positive_rate,tests_per_case,total_vaccinations,new_vaccinations,stringency_index
10/11/2021,1278751,637,28575,9,0.81,21231524,46128,0.0116,85.9,116131086,1239916,44.91
11/11/2021,1279142,391,28584,9,0.79,21280406,48882,0.0111,90.4,117243931,1112845,44.91
12/11/2021,1279373,231,28595,11,0.77,21318930,38524,0.0102,98.3,118333360,1089429,44.91
13/11/2021,1279373,0,28595,0,0.76,,,0.009,110.6,,,44.91
14/11/2021,1279876,503,28612,17,0.79,,,0.0096,104.7,119035991,,44.91
15/11/2021,1280092,216,28618,6,0.8,21419025,,0.0092,109,119436714,400723,44.91
16/11/2021,1280362,270,28628,10,0.82,21452460,33435,0.0084,118.8,119738546,301832,44.91
17/11/2021,1280822,460,28638,10,0.85,,,0.008,124.3,120003443,264897,44.91
18/11/2021,1281240,418,28648,10,0.86,21525597,,0.0086,116.9,120233579,230136,44.91
19/11/2021,1281559,319,28655,7,0.87,21565738,40141,0.0089,112.9,120448598,215019,44.91
20/11/2021,1281872,313,28659,4,0.88,,,0.0099,101.3,,,44.91
21/11/2021,1282195,323,28663,4,0.89,21644957,,0.0089,111.8,,,44.91
22/11/2021,1282510,315,28668,5,0.9,,,0.0092,108.5,121158338,,44.91
23/11/2021,1282860,350,28677,9,0.91,21717637,,0.0094,106.2,121470994,312656,44.91
24/11/2021,1283223,363,28690,13,0.92,21755675,38038,0.009,111.1,121777985,306991,44.91
25/11/2021,1283475,252,28697,7,0.93,21796915,41240,0.0082,121.4,,,44.91
26/11/2021,1283886,411,28704,7,0.95,21832091,35176,0.0087,114.5,122319215,,44.91
27/11/2021,1284189,303,28709,5,0.96,21876689,44598,0.0085,117.1,,,44.91
28/11/2021,1284365,176,28718,9,0.97,,,0.0081,123.5,122561478,,44.91
29/11/2021,1284840,475,28728,10,1,,,0.0087,115.1,123032063,470585,43.06
30/11/2021,1285254,414,28737,9,1.01,21985775,,0.0089,112,,,43.06
01/12/2021,1285631,377,28745,8,1,22028156,42381,0.0088,113.2,124054300,,43.06
02/12/2021,1286022,391,28753,8,1,22072293,44137,0.0092,108.1,124760553,706253,43.06
03/12/2021,1286453,431,28761,8,1,22118750,46457,0.009,111.7,,,43.06
04/12/2021,1286825,372,28767,6,0.98,,,0.0091,109.4,,,43.06
05/12/2021,1287161,336,28777,10,0.97,22211141,,0.0094,106.6,126586512,,43.06
06/12/2021,1287393,232,28784,7,0.96,22252342,41201,0.0084,118.7,127706528,1120016,54.17
07/12/2021,1287703,310,28793,9,0.95,,,0.0079,126.5,,,54.17
08/12/2021,1288053,350,28803,10,0.95,22338650,,0.0078,128.2,130107583,,54.17
09/12/2021,1288366,313,28812,9,0.95,,,0.0075,132.8,131311097,1203514,54.17
10/12/2021,1288761,395,28823,11,0.96,22428325,,0.0075,134.1,132638510,1327413,54.17
11/12/2021,1289049,288,28830,7,0.95,22479184,50859,0.0071,141.3,,,54.17
12/12/2021,1289293,244,28836,6,0.95,22525190,46006,0.0068,147.3,133901703,,54.17
13/12/2021,1289543,250,28839,3,0.96,22564577,39387,0.0069,145.2,134818017,916314,54.17
14/12/2021,1289913,370,28843,4,0.97,22601431,36854,0.0072,138.4,135923461,1105444,54.17
15/12/2021,1290214,301,28849,6,0.97,22646130,44699,0.007,142.3,137120270,1196809,54.17
16/12/2021,1290491,277,28863,14,0.98,22689025,42895,0.007,143.8,138365328,1245058,54.17
17/12/2021,1290491,0,28863,0,1,22730952,41927,0.0057,174.9,,,54.17
18/12/2021,1291108,617,28872,9,1.06,22778855,47903,0.0069,145.5,,,54.17
19/12/2021,1291467,359,28878,6,1.08,22821495,42640,0.0073,136.3,141509339,,54.17
20/12/2021,1291737,270,28882,4,1.08,22864737,43242,0.0073,136.8,142713705,1204366,54.17
21/12/2021,1292047,310,28892,10,1.08,22907243,42506,0.007,143.3,144064235,1350530,54.17
22/12/2021,1292406,359,28894,2,1.1,22954234,46991,0.0071,140.6,145453360,1389125,54.17
23/12/2021,1292728,322,28898,4,1.11,23000798,46564,0.0072,139.4,,,54.17
24/12/2021,1293081,353,28905,7,1.14,23048609,47811,0.0082,122.6,148265690,,54.17
25/12/2021,1293440,359,28907,2,1.16,23096757,48148,0.0073,136.3,,,54.17
26/12/2021,1293715,275,28909,2,1.19,23148807,52050,0.0069,145.6,,,54.17
27/12/2021,1294031,316,28912,3,1.24,23189338,40531,0.0071,141.5,151951087,,54.17
28/12/2021,1294379,348,28918,6,1.28,,,0.0072,139.1,153477237,1526150,54.17
29/12/2021,1294861,482,28921,3,1.34,23273887,,0.0077,130.2,,,54.17
30/12/2021,1295376,515,28927,6,1.4,23324549,50662,0.0082,122.3,156623021,,54.17
31/12/2021,1295933,557,28933,6,1.45,23372405,47856,0.0088,113.5,,,54.17
01/01/2022,1296527,594,28941,8,1.51,23423546,51141,0.0094,105.9,,,54.17
02/01/2022,1297235,708,28943,2,1.57,23469131,45585,0.011,91,,,54.17
03/01/2022,1297865,630,28945,2,1.62,23514774,45643,0.0118,84.9,159058469,,54.17
04/01/2022,1298763,898,28950,5,1.67,23558972,44198,0.0134,74.7,159900613,842144,54.17
05/01/2022,1299848,1085,28955,5,1.71,23608645,49673,0.0149,67.1,160651005,750392,54.17
06/01/2022,1301141,1293,28961,6,1.75,23655230,46585,0.0174,57.4,161409693,758688,54.17
07/01/2022,1302486,1345,28962,1,1.78,23706375,51145,0.0196,51,162115885,706192,54.17
08/01/2022,1304058,1572,28969,7,1.81,23752912,46537,0.0229,43.7,,,54.17
09/01/2022,1305707,1649,28972,3,1.83,23802570,49658,0.0254,39.4,,,54.17
10/01/2022,1307174,1467,28974,2,1.85,23847572,45002,0.028,35.8,,,54.17
11/01/2022,1309248,2074,28987,13,1.88,,,0.0315,31.7,163648656,,54.17
12/01/2022,1312267,3019,28992,5,1.9,23935232,,0.038,26.3,165296972,1648316,54.17
13/01/2022,1315834,3567,28999,7,1.91,23984502,49270,0.0446,22.4,166083807,786835,54.17
14/01/2022,1320120,4286,29003,4,1.9,24032951,48449,0.054,18.5,166837089,753282,54.17
15/01/2022,1324147,4027,29012,9,1.87,24085473,52522,0.0604,16.6,,,54.17
16/01/2022,1328487,4340,29019,7,1.84,24136709,51236,0.0682,14.7,,,54.17
17/01/2022,1333521,5034,29029,10,1.81,24186508,49799,0.0777,12.9,168365369,,54.17
18/01/2022,1338993,5472,29037,8,1.76,24239761,53253,0.0854,11.7,169131246,765877,54.17
19/01/2022,1345801,6808,29042,5,1.71,24297430,57669,0.0926,10.8,169925841,794595,54.17
20/01/2022,1353479,7678,29065,23,1.66,24356373,58943,0.1012,9.9,170711868,786027,65.28
21/01/2022,1360019,6540,29077,12,1.59,24415716,59343,0.1042,9.6,,,65.28
22/01/2022,1367605,7586,29097,20,1.53,24474618,58902,0.1117,9,,,65.28
23/01/2022,1374800,7195,29105,8,1.46,24532952,58334,0.1169,8.6,,,65.28
24/01/2022,1381152,6352,29122,17,1.4,,,0.1191,8.4,172836036,,65.28
25/01/2022,1386348,5196,29137,15,1.34,24639942,,0.1183,8.5,,,65.28
26/01/2022,1393887,7539,29162,25,1.29,24691005,51063,0.1222,8.2,,,65.28
27/01/2022,1402070,8183,29192,30,1.25,,,0.1213,8.2,174085175,,65.28
28/01/2022,1410033,7963,29219,27,1.21,24822901,,0.1228,8.1,,,65.28
29/01/2022,1417991,7958,29248,29,1.16,,,0.1213,8.2,,,65.28
30/01/2022,1425039,7048,29269,21,1.11,24957306,,0.1184,8.4,,,65.28
31/01/2022,1430366,5327,29301,32,1.06,25018383,61077,0.1139,8.8,,,65.28
01/02/2022,1436413,6047,29330,29,1.01,,,0.1147,8.7,177483355,,65.28
02/02/2022,1442263,5850,29372,42,0.96,25134775,,0.109,9.2,178996974,1513619,65.28
03/02/2022,1448663,6400,29420,48,0.92,25194561,59786,0.1065,9.4,180661534,1664560,65.28
04/02/2022,1454800,6137,29448,28,0.89,25258723,64162,0.1027,9.7,182396048,1734514,65.28
05/02/2022,1459773,4973,29478,30,0.84,,,0.0987,10.1,,,65.28
06/02/2022,1463111,3338,29516,38,0.81,,,0.0927,10.8,185979557,,65.28
07/02/2022,1465910,2799,29553,37,0.78,25422966,,0.0879,11.4,187996736,2017179,65.28
08/02/2022,1470161,4251,29601,48,0.76,,,0.0842,11.9,190064703,2067967,65.28
09/02/2022,1474075,3914,29648,47,0.74,,,0.0802,12.5,192248104,2183401,65.28
10/02/2022,1477573,3498,29687,39,0.72,,,0.0739,13.5,194492475,2244371,65.28
11/02/2022,1480592,3019,29731,44,0.7,25639757,,0.0677,14.8,,,65.28
12/02/2022,1483798,3206,29772,41,0.69,,,0.0633,15.8,,,65.28
13/02/2022,1486361,2563,29801,29,0.68,,,0.0615,16.2,200887927,,65.28
14/02/2022,1488958,2597,29828,27,0.67,25799168,,0.0613,16.3,203227145,2339218,65.28
15/02/2022,1491423,2465,29877,49,0.65,,,0.0573,17.4,,,65.28
16/02/2022,1494293,2870,29917,40,0.64,25896758,,0.0553,18.1,205527345,,65.28
17/02/2022,1496693,2400,29950,33,0.62,,,0.0529,18.9,,,65.28
18/02/2022,1498676,1983,29976,26,0.6,25997179,,0.0506,19.8,,,65.28
19/02/2022,1500320,1644,30009,33,0.58,,,0.0471,21.2,,,65.28
20/02/2022,1501680,1360,30040,31,0.57,,,0.0445,22.5,,,65.28
21/02/2022,1502641,961,30053,13,0.56,26136422,,0.0406,24.6,209438557,,65.28
22/02/2022,1503873,1232,30096,43,0.56,26174561,38139,0.0381,26.2,,,65.28
23/02/2022,1505328,1455,30114,18,0.55,,,0.0345,29,,,65.28
24/02/2022,1506450,1122,30139,25,0.55,26258701,,0.0313,31.9,,,65.28
25/02/2022,1507657,1207,30153,14,0.55,26299843,41142,0.0297,33.7,,,65.28
26/02/2022,1508504,847,30173,20,0.55,26353468,53625,0.0264,37.9,,,65.28
27/02/2022,1509360,856,30178,5,0.56,26393595,40127,0.0253,39.5,,,65.28
28/02/2022,1510221,861,30196,18,0.57,26426952,33357,0.0261,38.3,214661126,,65.28
01/03/2022,1510986,765,30218,22,0.57,26464518,37566,0.0245,40.8,215117064,455938,65.28
02/03/2022,1511754,768,30237,19,0.58,26498814,34296,0.0228,43.9,215539999,422935,65.28
03/03/2022,1512707,953,30248,11,0.59,26534095,35281,0.0227,44,,,65.28
04/03/2022,1513503,796,30258,10,0.6,26570773,36678,0.0216,46.3,,,65.28
05/03/2022,1514258,755,30265,7,0.61,26608558,37785,0.0226,44.3,216932641,,65.28
06/03/2022,1515014,756,30272,7,0.62,26646219,37661,0.0224,44.7,,,65.28
07/03/2022,1515392,378,30281,9,0.62,26683737,37518,0.0201,49.7,217444622,,65.28
08/03/2022,1516150,758,30287,6,0.64,26712953,29216,0.0208,48.1,218051079,606457,65.28
09/03/2022,1516789,639,30291,4,0.64,26749522,36569,0.0201,49.8,218689769,638690,65.28
10/03/2022,1517512,723,30298,7,0.65,,,0.019,52.7,219368557,678788,65.28
11/03/2022,1518083,571,30304,6,0.65,26825303,,0.018,55.6,,,65.28
12/03/2022,1518692,609,30307,3,0.65,,,0.0175,57.1,,,65.28
13/03/2022,1519154,462,30309,2,0.65,26897815,,0.0165,60.8,,,65.28
14/03/2022,1519627,473,30313,4,0.66,26929016,31201,0.0173,57.9,,,65.28
15/03/2022,1520120,493,30317,4,0.66,,,0.0158,63.3,,,65.28
16/03/2022,1520634,514,30319,2,0.65,,,0.0154,65,,,65.28
17/03/2022,1520817,183,30326,7,0.65,,,0.0134,74.8,,,70.37
18/03/2022,1521513,696,30328,2,0.66,,,0.014,71.4,,,70.37
19/03/2022,1521888,375,30329,1,0.65,,,0.0131,76.3,,,70.37
20/03/2022,1522191,303,30331,2,0.64,,,0.0125,79.9,,,70.37
21/03/2022,1522419,228,30333,2,0.64,27175808,,0.0113,88.4,,,70.37
22/03/2022,1522862,443,30333,0,0.65,,,0.0113,88.3,,,70.37
23/03/2022,1523072,210,30333,0,0.64,,,0.0103,97.3,,,70.37
24/03/2022,1523401,329,30336,3,0.64,,,0.0111,90,,,70.37
25/03/2022,1523590,189,30340,4,0.63,27297869,,0.0091,109.7,,,70.37
26/03/2022,1523900,310,30345,5,0.64,,,0.009,110.7,,,70.37
27/03/2022,1524086,186,30346,1,0.65,,,0.0087,114.9,,,70.37
28/03/2022,1524355,269,30347,1,0.66,27388407,,0.0091,109.8,,,70.37
29/03/2022,1524549,194,30349,2,0.66,,,0.008,124.8,,,70.37
30/03/2022,1524793,244,30355,6,0.67,,,0.0083,121,,,70.37
31/03/2022,1524973,180,30359,4,0.67,,,0.0076,131.1,237931825,,70.37
01/04/2022,1525181,208,30360,1,0.67,27501885,,0.0078,128.2,,,70.37
02/04/2022,1525466,285,30361,1,0.68,,,0.0078,128.2,,,70.37
03/04/2022,1525620,154,30361,0,0.67,,,0.0078,128.7,,,70.37
04/04/2022,1525775,155,30361,0,0.67,,,0.0073,136.6,,,70.37
05/04/2022,1525923,148,30361,0,0.67,,,0.0071,140.1,,,70.37
06/04/2022,1526093,170,30361,0,0.67,,,0.0068,146.9,,,70.37
07/04/2022,1526234,141,30361,0,0.67,,,0.0067,150.3,,,70.37
08/04/2022,1526472,238,30361,0,0.66,27689870,,0.0069,145.6,,,70.37
09/04/2022,1526568,96,30361,0,0.65,,,0.0059,168.4,,,70.37
10/04/2022,1526666,98,30361,0,0.64,,,0.0057,175.1,243150094,,70.37
11/04/2022,1526728,62,30362,1,0.64,27763120,,0.0053,189.6,243416068,265974,
12/04/2022,1526829,101,30362,0,0.65,,,0.0053,188.4,243618172,202104,
13/04/2022,1526952,123,30362,0,0.66,,,0.0053,187.1,243800641,182469,
14/04/2022,1526952,0,30362,0,0.67,,,0.0048,209.9,243978732,178091,
15/04/2022,1527151,199,30363,1,0.7,27830633,,0.0048,207.3,,,
16/04/2022,1527248,97,30363,0,0.71,,,0.0046,217.9,,,
17/04/2022,1527326,78,30364,1,0.7,,,0.0042,235.6,244354132,,
18/04/2022,1527411,85,30364,0,0.72,27926021,,0.0042,238.5,244568232,214100,
19/04/2022,1527486,75,30368,4,0.72,,,0.0039,253.8,244761947,193715,
20/04/2022,1527589,103,30368,0,0.73,,,0.0037,267.9,244920963,159016,
21/04/2022,1527669,80,30368,0,0.74,,,0.0041,243.4,245094738,173775,
22/04/2022,1527751,82,30369,1,0.74,28008999,,0.0034,297.3,245242604,147866,
23/04/2022,1527751,0,30369,0,0.75,,,0.0032,307.8,245392645,150041,
24/04/2022,1527956,205,30369,0,0.78,,,0.0048,208.5,,,
25/04/2022,1527956,0,30369,0,0.77,,,,,245569444,,
26/04/2022,1527956,0,30369,0,,,,,,245702246,132802,
27/04/2022,1527956,0,30369,0,,,,,,245838488,136242,
28/04/2022,1527956,0,30369,0,,,,,,245974507,136019,
29/04/2022,1527956,0,30369,0,,28066952,,,,246074202,99695,
30/04/2022,1527956,0,30369,0,,,,,,246181059,106857,
